FIPS,Admin2,Province_State,Population,name,value
40001,Adair,Oklahoma,22194,1/22/20,0
40001,Adair,Oklahoma,22194,1/23/20,0
40001,Adair,Oklahoma,22194,1/24/20,0
40001,Adair,Oklahoma,22194,1/25/20,0
40001,Adair,Oklahoma,22194,1/26/20,0
40001,Adair,Oklahoma,22194,1/27/20,0
40001,Adair,Oklahoma,22194,1/28/20,0
40001,Adair,Oklahoma,22194,1/29/20,0
40001,Adair,Oklahoma,22194,1/30/20,0
40001,Adair,Oklahoma,22194,1/31/20,0
40001,Adair,Oklahoma,22194,2/1/20,0
40001,Adair,Oklahoma,22194,2/2/20,0
40001,Adair,Oklahoma,22194,2/3/20,0
40001,Adair,Oklahoma,22194,2/4/20,0
40001,Adair,Oklahoma,22194,2/5/20,0
40001,Adair,Oklahoma,22194,2/6/20,0
40001,Adair,Oklahoma,22194,2/7/20,0
40001,Adair,Oklahoma,22194,2/8/20,0
40001,Adair,Oklahoma,22194,2/9/20,0
40001,Adair,Oklahoma,22194,2/10/20,0
40001,Adair,Oklahoma,22194,2/11/20,0
40001,Adair,Oklahoma,22194,2/12/20,0
40001,Adair,Oklahoma,22194,2/13/20,0
40001,Adair,Oklahoma,22194,2/14/20,0
40001,Adair,Oklahoma,22194,2/15/20,0
40001,Adair,Oklahoma,22194,2/16/20,0
40001,Adair,Oklahoma,22194,2/17/20,0
40001,Adair,Oklahoma,22194,2/18/20,0
40001,Adair,Oklahoma,22194,2/19/20,0
40001,Adair,Oklahoma,22194,2/20/20,0
40001,Adair,Oklahoma,22194,2/21/20,0
40001,Adair,Oklahoma,22194,2/22/20,0
40001,Adair,Oklahoma,22194,2/23/20,0
40001,Adair,Oklahoma,22194,2/24/20,0
40001,Adair,Oklahoma,22194,2/25/20,0
40001,Adair,Oklahoma,22194,2/26/20,0
40001,Adair,Oklahoma,22194,2/27/20,0
40001,Adair,Oklahoma,22194,2/28/20,0
40001,Adair,Oklahoma,22194,2/29/20,0
40001,Adair,Oklahoma,22194,3/1/20,0
40001,Adair,Oklahoma,22194,3/2/20,0
40001,Adair,Oklahoma,22194,3/3/20,0
40001,Adair,Oklahoma,22194,3/4/20,0
40001,Adair,Oklahoma,22194,3/5/20,0
40001,Adair,Oklahoma,22194,3/6/20,0
40001,Adair,Oklahoma,22194,3/7/20,0
40001,Adair,Oklahoma,22194,3/8/20,0
40001,Adair,Oklahoma,22194,3/9/20,0
40001,Adair,Oklahoma,22194,3/10/20,0
40001,Adair,Oklahoma,22194,3/11/20,0
40001,Adair,Oklahoma,22194,3/12/20,0
40001,Adair,Oklahoma,22194,3/13/20,0
40001,Adair,Oklahoma,22194,3/14/20,0
40001,Adair,Oklahoma,22194,3/15/20,0
40001,Adair,Oklahoma,22194,3/16/20,0
40001,Adair,Oklahoma,22194,3/17/20,0
40001,Adair,Oklahoma,22194,3/18/20,0
40001,Adair,Oklahoma,22194,3/19/20,0
40001,Adair,Oklahoma,22194,3/20/20,0
40001,Adair,Oklahoma,22194,3/21/20,0
40001,Adair,Oklahoma,22194,3/22/20,0
40001,Adair,Oklahoma,22194,3/23/20,0
40001,Adair,Oklahoma,22194,3/24/20,0
40001,Adair,Oklahoma,22194,3/25/20,0
40001,Adair,Oklahoma,22194,3/26/20,0
40001,Adair,Oklahoma,22194,3/27/20,0
40001,Adair,Oklahoma,22194,3/28/20,0
40001,Adair,Oklahoma,22194,3/29/20,0
40001,Adair,Oklahoma,22194,3/30/20,0
40001,Adair,Oklahoma,22194,3/31/20,0
40001,Adair,Oklahoma,22194,4/1/20,0
40001,Adair,Oklahoma,22194,4/2/20,0
40001,Adair,Oklahoma,22194,4/3/20,0
40001,Adair,Oklahoma,22194,4/4/20,0
40001,Adair,Oklahoma,22194,4/5/20,0
40001,Adair,Oklahoma,22194,4/6/20,0
40001,Adair,Oklahoma,22194,4/7/20,1
40001,Adair,Oklahoma,22194,4/8/20,2
40001,Adair,Oklahoma,22194,4/9/20,2
40001,Adair,Oklahoma,22194,4/10/20,2
40001,Adair,Oklahoma,22194,4/11/20,2
40001,Adair,Oklahoma,22194,4/12/20,2
40001,Adair,Oklahoma,22194,4/13/20,2
40001,Adair,Oklahoma,22194,4/14/20,2
40001,Adair,Oklahoma,22194,4/15/20,3
40001,Adair,Oklahoma,22194,4/16/20,3
40001,Adair,Oklahoma,22194,4/17/20,3
40001,Adair,Oklahoma,22194,4/18/20,3
40001,Adair,Oklahoma,22194,4/19/20,3
40001,Adair,Oklahoma,22194,4/20/20,3
40001,Adair,Oklahoma,22194,4/21/20,3
40001,Adair,Oklahoma,22194,4/22/20,3
40001,Adair,Oklahoma,22194,4/23/20,3
40001,Adair,Oklahoma,22194,4/24/20,3
40001,Adair,Oklahoma,22194,4/25/20,3
40001,Adair,Oklahoma,22194,4/26/20,3
40001,Adair,Oklahoma,22194,4/27/20,3
40001,Adair,Oklahoma,22194,4/28/20,3
40001,Adair,Oklahoma,22194,4/29/20,3
40001,Adair,Oklahoma,22194,4/30/20,3
40001,Adair,Oklahoma,22194,5/1/20,3
40001,Adair,Oklahoma,22194,5/2/20,3
40001,Adair,Oklahoma,22194,5/3/20,3
40001,Adair,Oklahoma,22194,5/4/20,3
40001,Adair,Oklahoma,22194,5/5/20,3
40001,Adair,Oklahoma,22194,5/6/20,3
40001,Adair,Oklahoma,22194,5/7/20,3
40001,Adair,Oklahoma,22194,5/8/20,3
40001,Adair,Oklahoma,22194,5/9/20,3
40001,Adair,Oklahoma,22194,5/10/20,3
40001,Adair,Oklahoma,22194,5/11/20,3
40001,Adair,Oklahoma,22194,5/12/20,3
40001,Adair,Oklahoma,22194,5/13/20,3
40001,Adair,Oklahoma,22194,5/14/20,3
40001,Adair,Oklahoma,22194,5/15/20,3
40001,Adair,Oklahoma,22194,5/16/20,3
40001,Adair,Oklahoma,22194,5/17/20,3
40001,Adair,Oklahoma,22194,5/18/20,3
40001,Adair,Oklahoma,22194,5/19/20,3
