FIPS,Admin2,Province_State,Population,name,value
40015,Caddo,Oklahoma,28762,1/22/20,0
40015,Caddo,Oklahoma,28762,1/23/20,0
40015,Caddo,Oklahoma,28762,1/24/20,0
40015,Caddo,Oklahoma,28762,1/25/20,0
40015,Caddo,Oklahoma,28762,1/26/20,0
40015,Caddo,Oklahoma,28762,1/27/20,0
40015,Caddo,Oklahoma,28762,1/28/20,0
40015,Caddo,Oklahoma,28762,1/29/20,0
40015,Caddo,Oklahoma,28762,1/30/20,0
40015,Caddo,Oklahoma,28762,1/31/20,0
40015,Caddo,Oklahoma,28762,2/1/20,0
40015,Caddo,Oklahoma,28762,2/2/20,0
40015,Caddo,Oklahoma,28762,2/3/20,0
40015,Caddo,Oklahoma,28762,2/4/20,0
40015,Caddo,Oklahoma,28762,2/5/20,0
40015,Caddo,Oklahoma,28762,2/6/20,0
40015,Caddo,Oklahoma,28762,2/7/20,0
40015,Caddo,Oklahoma,28762,2/8/20,0
40015,Caddo,Oklahoma,28762,2/9/20,0
40015,Caddo,Oklahoma,28762,2/10/20,0
40015,Caddo,Oklahoma,28762,2/11/20,0
40015,Caddo,Oklahoma,28762,2/12/20,0
40015,Caddo,Oklahoma,28762,2/13/20,0
40015,Caddo,Oklahoma,28762,2/14/20,0
40015,Caddo,Oklahoma,28762,2/15/20,0
40015,Caddo,Oklahoma,28762,2/16/20,0
40015,Caddo,Oklahoma,28762,2/17/20,0
40015,Caddo,Oklahoma,28762,2/18/20,0
40015,Caddo,Oklahoma,28762,2/19/20,0
40015,Caddo,Oklahoma,28762,2/20/20,0
40015,Caddo,Oklahoma,28762,2/21/20,0
40015,Caddo,Oklahoma,28762,2/22/20,0
40015,Caddo,Oklahoma,28762,2/23/20,0
40015,Caddo,Oklahoma,28762,2/24/20,0
40015,Caddo,Oklahoma,28762,2/25/20,0
40015,Caddo,Oklahoma,28762,2/26/20,0
40015,Caddo,Oklahoma,28762,2/27/20,0
40015,Caddo,Oklahoma,28762,2/28/20,0
40015,Caddo,Oklahoma,28762,2/29/20,0
40015,Caddo,Oklahoma,28762,3/1/20,0
40015,Caddo,Oklahoma,28762,3/2/20,0
40015,Caddo,Oklahoma,28762,3/3/20,0
40015,Caddo,Oklahoma,28762,3/4/20,0
40015,Caddo,Oklahoma,28762,3/5/20,0
40015,Caddo,Oklahoma,28762,3/6/20,0
40015,Caddo,Oklahoma,28762,3/7/20,0
40015,Caddo,Oklahoma,28762,3/8/20,0
40015,Caddo,Oklahoma,28762,3/9/20,0
40015,Caddo,Oklahoma,28762,3/10/20,0
40015,Caddo,Oklahoma,28762,3/11/20,0
40015,Caddo,Oklahoma,28762,3/12/20,0
40015,Caddo,Oklahoma,28762,3/13/20,0
40015,Caddo,Oklahoma,28762,3/14/20,0
40015,Caddo,Oklahoma,28762,3/15/20,0
40015,Caddo,Oklahoma,28762,3/16/20,0
40015,Caddo,Oklahoma,28762,3/17/20,0
40015,Caddo,Oklahoma,28762,3/18/20,0
40015,Caddo,Oklahoma,28762,3/19/20,0
40015,Caddo,Oklahoma,28762,3/20/20,0
40015,Caddo,Oklahoma,28762,3/21/20,0
40015,Caddo,Oklahoma,28762,3/22/20,0
40015,Caddo,Oklahoma,28762,3/23/20,0
40015,Caddo,Oklahoma,28762,3/24/20,0
40015,Caddo,Oklahoma,28762,3/25/20,0
40015,Caddo,Oklahoma,28762,3/26/20,0
40015,Caddo,Oklahoma,28762,3/27/20,0
