FIPS,Admin2,Province_State,Population,name,value
40019,Carter,Oklahoma,48111,1/22/20,0
40019,Carter,Oklahoma,48111,1/23/20,0
40019,Carter,Oklahoma,48111,1/24/20,0
40019,Carter,Oklahoma,48111,1/25/20,0
40019,Carter,Oklahoma,48111,1/26/20,0
40019,Carter,Oklahoma,48111,1/27/20,0
40019,Carter,Oklahoma,48111,1/28/20,0
40019,Carter,Oklahoma,48111,1/29/20,0
40019,Carter,Oklahoma,48111,1/30/20,0
40019,Carter,Oklahoma,48111,1/31/20,0
40019,Carter,Oklahoma,48111,2/1/20,0
40019,Carter,Oklahoma,48111,2/2/20,0
40019,Carter,Oklahoma,48111,2/3/20,0
40019,Carter,Oklahoma,48111,2/4/20,0
40019,Carter,Oklahoma,48111,2/5/20,0
40019,Carter,Oklahoma,48111,2/6/20,0
40019,Carter,Oklahoma,48111,2/7/20,0
40019,Carter,Oklahoma,48111,2/8/20,0
40019,Carter,Oklahoma,48111,2/9/20,0
40019,Carter,Oklahoma,48111,2/10/20,0
40019,Carter,Oklahoma,48111,2/11/20,0
40019,Carter,Oklahoma,48111,2/12/20,0
40019,Carter,Oklahoma,48111,2/13/20,0
40019,Carter,Oklahoma,48111,2/14/20,0
40019,Carter,Oklahoma,48111,2/15/20,0
40019,Carter,Oklahoma,48111,2/16/20,0
40019,Carter,Oklahoma,48111,2/17/20,0
40019,Carter,Oklahoma,48111,2/18/20,0
40019,Carter,Oklahoma,48111,2/19/20,0
40019,Carter,Oklahoma,48111,2/20/20,0
40019,Carter,Oklahoma,48111,2/21/20,0
40019,Carter,Oklahoma,48111,2/22/20,0
40019,Carter,Oklahoma,48111,2/23/20,0
40019,Carter,Oklahoma,48111,2/24/20,0
40019,Carter,Oklahoma,48111,2/25/20,0
40019,Carter,Oklahoma,48111,2/26/20,0
40019,Carter,Oklahoma,48111,2/27/20,0
40019,Carter,Oklahoma,48111,2/28/20,0
40019,Carter,Oklahoma,48111,2/29/20,0
40019,Carter,Oklahoma,48111,3/1/20,0
40019,Carter,Oklahoma,48111,3/2/20,0
40019,Carter,Oklahoma,48111,3/3/20,0
40019,Carter,Oklahoma,48111,3/4/20,0
40019,Carter,Oklahoma,48111,3/5/20,0
40019,Carter,Oklahoma,48111,3/6/20,0
40019,Carter,Oklahoma,48111,3/7/20,0
40019,Carter,Oklahoma,48111,3/8/20,0
40019,Carter,Oklahoma,48111,3/9/20,0
40019,Carter,Oklahoma,48111,3/10/20,0
40019,Carter,Oklahoma,48111,3/11/20,0
40019,Carter,Oklahoma,48111,3/12/20,0
40019,Carter,Oklahoma,48111,3/13/20,0
40019,Carter,Oklahoma,48111,3/14/20,0
40019,Carter,Oklahoma,48111,3/15/20,0
40019,Carter,Oklahoma,48111,3/16/20,0
40019,Carter,Oklahoma,48111,3/17/20,0
40019,Carter,Oklahoma,48111,3/18/20,0
40019,Carter,Oklahoma,48111,3/19/20,0
40019,Carter,Oklahoma,48111,3/20/20,0
40019,Carter,Oklahoma,48111,3/21/20,0
40019,Carter,Oklahoma,48111,3/22/20,0
40019,Carter,Oklahoma,48111,3/23/20,0
40019,Carter,Oklahoma,48111,3/24/20,0
40019,Carter,Oklahoma,48111,3/25/20,0
40019,Carter,Oklahoma,48111,3/26/20,0
40019,Carter,Oklahoma,48111,3/27/20,0
40019,Carter,Oklahoma,48111,3/28/20,0
40019,Carter,Oklahoma,48111,3/29/20,0
40019,Carter,Oklahoma,48111,3/30/20,0
40019,Carter,Oklahoma,48111,3/31/20,0
40019,Carter,Oklahoma,48111,4/1/20,0
40019,Carter,Oklahoma,48111,4/2/20,0
40019,Carter,Oklahoma,48111,4/3/20,0
40019,Carter,Oklahoma,48111,4/4/20,0
40019,Carter,Oklahoma,48111,4/5/20,0
40019,Carter,Oklahoma,48111,4/6/20,0
40019,Carter,Oklahoma,48111,4/7/20,0
40019,Carter,Oklahoma,48111,4/8/20,0
40019,Carter,Oklahoma,48111,4/9/20,0
40019,Carter,Oklahoma,48111,4/10/20,0
40019,Carter,Oklahoma,48111,4/11/20,0
40019,Carter,Oklahoma,48111,4/12/20,0
40019,Carter,Oklahoma,48111,4/13/20,0
40019,Carter,Oklahoma,48111,4/14/20,0
40019,Carter,Oklahoma,48111,4/15/20,0
40019,Carter,Oklahoma,48111,4/16/20,0
40019,Carter,Oklahoma,48111,4/17/20,0
40019,Carter,Oklahoma,48111,4/18/20,0
40019,Carter,Oklahoma,48111,4/19/20,0
40019,Carter,Oklahoma,48111,4/20/20,0
40019,Carter,Oklahoma,48111,4/21/20,0
40019,Carter,Oklahoma,48111,4/22/20,0
40019,Carter,Oklahoma,48111,4/23/20,0
40019,Carter,Oklahoma,48111,4/24/20,0
40019,Carter,Oklahoma,48111,4/25/20,0
40019,Carter,Oklahoma,48111,4/26/20,0
40019,Carter,Oklahoma,48111,4/27/20,1
40019,Carter,Oklahoma,48111,4/28/20,1
40019,Carter,Oklahoma,48111,4/29/20,1
40019,Carter,Oklahoma,48111,4/30/20,1
40019,Carter,Oklahoma,48111,5/1/20,1
40019,Carter,Oklahoma,48111,5/2/20,1
40019,Carter,Oklahoma,48111,5/3/20,1
40019,Carter,Oklahoma,48111,5/4/20,1
40019,Carter,Oklahoma,48111,5/5/20,1
40019,Carter,Oklahoma,48111,5/6/20,1
40019,Carter,Oklahoma,48111,5/7/20,1
40019,Carter,Oklahoma,48111,5/8/20,1
40019,Carter,Oklahoma,48111,5/9/20,1
40019,Carter,Oklahoma,48111,5/10/20,1
40019,Carter,Oklahoma,48111,5/11/20,1
40019,Carter,Oklahoma,48111,5/12/20,1
40019,Carter,Oklahoma,48111,5/13/20,1
40019,Carter,Oklahoma,48111,5/14/20,1
